Region,Division,State,year,num_crimes
South,East South Central,Alabama,1960.0,3567.1597609445453
West,Pacific,Alaska,1960.0,235.99999999999997
West,Mountain,Arizona,1960.0,2704.0000000000005
South,West South Central,Arkansas,1960.0,1924.0
West,Pacific,California,1960.0,37558.0
West,Mountain,Colorado,1960.0,2408.0
Northeast,New England,Connecticut,1960.0,928.0
South,South Atlantic,Delaware,1960.0,375.00000000000006
South,South Atlantic,District of Columbia,1960.0,4230.0
South,South Atlantic,Florida,1960.0,11061.0
South,South Atlantic,Georgia,1960.0,6262.0
West,Pacific,Hawaii,1960.0,138.0
West,Mountain,Idaho,1960.0,255.00000000000003
Midwest,East North Central,Illinois,1960.0,36802.0
Midwest,East North Central,Indiana,1960.0,3945.0000000000005
Midwest,West North Central,Iowa,1960.0,656.0
Midwest,West North Central,Kansas,1960.0,1272.0
South,East South Central,Kentucky,1960.0,2957.0000000000005
South,West South Central,Louisiana,1960.0,4990.0
Northeast,New England,Maine,1960.0,289.0
South,South Atlantic,Maryland,1960.0,4691.0
Northeast,New England,Massachusetts,1960.0,2512.0
Midwest,East North Central,Michigan,1960.0,17034.0
Midwest,West North Central,Minnesota,1960.0,1435.0
South,East South Central,Mississippi,1960.0,2236.0
Midwest,West North Central,Missouri,1960.0,7468.0
West,Mountain,Montana,1960.0,453.0
Midwest,West North Central,Nebraska,1960.0,590.0
West,Mountain,Nevada,1960.0,416.0
Northeast,New England,New Hampshire,1960.0,81.00000000000001
Northeast,Middle Atlantic,New Jersey,1960.0,6932.0
West,Mountain,New Mexico,1960.0,1360.0
Northeast,Middle Atlantic,New York,1960.0,127037.1992217172
South,South Atlantic,North Carolina,1960.0,10182.0
Midwest,West North Central,North Dakota,1960.0,90.0
Midwest,East North Central,Ohio,1960.0,8120.000000000001
South,West South Central,Oklahoma,1960.0,2258.0
West,Pacific,Oregon,1960.0,1232.0
Northeast,Middle Atlantic,Pennsylvania,1960.0,11203.0
Northeast,New England,Rhode Island,1960.0,316.0
South,South Atlantic,South Carolina,1960.0,3424.0
Midwest,West North Central,South Dakota,1960.0,282.0
South,East South Central,Tennessee,1960.0,3250.0000000000005
South,West South Central,Texas,1960.0,15428.0
West,Mountain,Utah,1960.0,484.0
Northeast,New England,Vermont,1960.0,37.0
South,South Atlantic,Virginia,1960.0,7286.0
West,Pacific,Washington,1960.0,1616.0
South,South Atlantic,West Virginia,1960.0,1200.0
Midwest,East North Central,Wisconsin,1960.0,1261.0
West,Mountain,Wyoming,1960.0,362.0
South,East South Central,Alabama,1961.0000000000002,5563.999999999999
West,Pacific,Alaska,1961.0000000000002,208.0
West,Mountain,Arizona,1961.0000000000002,2288.0
South,West South Central,Arkansas,1961.0000000000002,1808.9999999999998
West,Pacific,California,1961.0000000000002,38154.0
West,Mountain,Colorado,1961.0000000000002,2659.0
Northeast,New England,Connecticut,1961.0000000000002,878.0
South,South Atlantic,Delaware,1961.0000000000002,318.0
South,South Atlantic,District of Columbia,1961.0000000000002,4491.0
South,South Atlantic,Florida,1961.0000000000002,11376.0
South,South Atlantic,Georgia,1961.0000000000002,6269.0
West,Pacific,Hawaii,1961.0000000000002,161.0
West,Mountain,Idaho,1961.0000000000002,221.99999999999997
Midwest,East North Central,Illinois,1961.0000000000002,37156.0
Midwest,East North Central,Indiana,1961.0000000000002,4044.0
Midwest,West North Central,Iowa,1961.0000000000002,643.0
Midwest,West North Central,Kansas,1961.0000000000002,1282.0
South,East South Central,Kentucky,1961.0000000000002,2907.0
South,West South Central,Louisiana,1961.0000000000002,4508.0
Northeast,New England,Maine,1961.0000000000002,334.0
South,South Atlantic,Maryland,1961.0000000000002,4959.0
Northeast,New England,Massachusetts,1961.0000000000002,2777.0
Midwest,East North Central,Michigan,1961.0000000000002,16499.0
Midwest,West North Central,Minnesota,1961.0000000000002,1505.0
South,East South Central,Mississippi,1961.0000000000002,2274.0
Midwest,West North Central,Missouri,1961.0000000000002,7266.0
West,Mountain,Montana,1961.0000000000002,457.0
Midwest,West North Central,Nebraska,1961.0000000000002,586.0
West,Mountain,Nevada,1961.0000000000002,549.0
Northeast,New England,New Hampshire,1961.0000000000002,88.99999999999999
Northeast,Middle Atlantic,New Jersey,1961.0000000000002,6682.0
West,Mountain,New Mexico,1961.0000000000002,1278.0
Northeast,Middle Atlantic,New York,1961.0000000000002,127650.3971065071
South,South Atlantic,North Carolina,1961.0000000000002,9275.0
Midwest,West North Central,North Dakota,1961.0000000000002,160.0
Midwest,East North Central,Ohio,1961.0000000000002,7986.0
South,West South Central,Oklahoma,1961.0000000000002,2437.0
West,Pacific,Oregon,1961.0000000000002,1242.0
Northeast,Middle Atlantic,Pennsylvania,1961.0000000000002,11223.0
Northeast,New England,Rhode Island,1961.0000000000002,372.0
South,South Atlantic,South Carolina,1961.0000000000002,3318.0
Midwest,West North Central,South Dakota,1961.0000000000002,245.0
South,East South Central,Tennessee,1961.0000000000002,3910.0
South,West South Central,Texas,1961.0000000000002,15441.0
West,Mountain,Utah,1961.0000000000002,451.0
Northeast,New England,Vermont,1961.0000000000002,79.0
South,South Atlantic,Virginia,1961.0000000000002,7555.0
West,Pacific,Washington,1961.0000000000002,1687.0
South,South Atlantic,West Virginia,1961.0000000000002,1167.0
Midwest,East North Central,Wisconsin,1961.0000000000002,1268.0
West,Mountain,Wyoming,1961.0000000000002,288.0
South,East South Central,Alabama,1962.0,5283.0
West,Pacific,Alaska,1962.0,225.0
West,Mountain,Arizona,1962.0,2610.0
South,West South Central,Arkansas,1962.0,1667.0
West,Pacific,California,1962.0,39846.0
West,Mountain,Colorado,1962.0,2990.0
Northeast,New England,Connecticut,1962.0,938.0
South,South Atlantic,Delaware,1962.0,338.00000000000006
South,South Atlantic,District of Columbia,1962.0,4750.0
South,South Atlantic,Florida,1962.0,10489.0
South,South Atlantic,Georgia,1962.0,6200.0
West,Pacific,Hawaii,1962.0,256.0
West,Mountain,Idaho,1962.0,234.00000000000003
Midwest,East North Central,Illinois,1962.0,38926.0
Midwest,East North Central,Indiana,1962.0,4191.0
Midwest,West North Central,Iowa,1962.0,559.0
Midwest,West North Central,Kansas,1962.0,1477.0000000000002
South,East South Central,Kentucky,1962.0,2962.9999999999995
South,West South Central,Louisiana,1962.0,4570.0
Northeast,New England,Maine,1962.0,277.0
South,South Atlantic,Maryland,1962.0,4915.0
Northeast,New England,Massachusetts,1962.0,3207.0000000000005
Midwest,East North Central,Michigan,1962.0,18106.0
Midwest,West North Central,Minnesota,1962.0,1673.9999999999998
South,East South Central,Mississippi,1962.0,2079.0
Midwest,West North Central,Missouri,1962.0,8059.0
West,Mountain,Montana,1962.0,390.0
Midwest,West North Central,Nebraska,1962.0,637.0
West,Mountain,Nevada,1962.0,711.0
Northeast,New England,New Hampshire,1962.0,177.99999999999997
Northeast,Middle Atlantic,New Jersey,1962.0,7874.0
West,Mountain,New Mexico,1962.0,1338.0
Northeast,Middle Atlantic,New York,1962.0,128263.59499129676
South,South Atlantic,North Carolina,1962.0,9533.0
Midwest,West North Central,North Dakota,1962.0,128.0
Midwest,East North Central,Ohio,1962.0,8366.0
South,West South Central,Oklahoma,1962.0,2478.0
West,Pacific,Oregon,1962.0,1461.0
Northeast,Middle Atlantic,Pennsylvania,1962.0,11856.0
Northeast,New England,Rhode Island,1962.0,402.0
South,South Atlantic,South Carolina,1962.0,3011.9999999999995
Midwest,West North Central,South Dakota,1962.0,279.0
South,East South Central,Tennessee,1962.0,3767.0000000000005
South,West South Central,Texas,1962.0,15516.000000000002
West,Mountain,Utah,1962.0,554.0
Northeast,New England,Vermont,1962.0,57.0
South,South Atlantic,Virginia,1962.0,7720.0
West,Pacific,Washington,1962.0,1913.0
South,South Atlantic,West Virginia,1962.0,1146.0
Midwest,East North Central,Wisconsin,1962.0,1174.0
West,Mountain,Wyoming,1962.0,156.0
South,East South Central,Alabama,1963.0000000000002,6115.000000000001
West,Pacific,Alaska,1963.0000000000002,272.0
