Region,Division,State,year,num_crimes
South,East South Central,Alabama,1960,null
West,Pacific,Alaska,1960,236
West,Mountain,Arizona,1960,2704
South,West South Central,Arkansas,1960,1924
West,Pacific,California,1960,37558
West,Mountain,Colorado,1960,2408
Northeast,New England,Connecticut,1960,928
South,South Atlantic,Delaware,1960,375
South,South Atlantic,District of Columbia,1960,4230
South,South Atlantic,Florida,1960,11061
South,South Atlantic,Georgia,1960,6262
West,Pacific,Hawaii,1960,138
West,Mountain,Idaho,1960,255
Midwest,East North Central,Illinois,1960,36802
Midwest,East North Central,Indiana,1960,3945
Midwest,West North Central,Iowa,1960,656
Midwest,West North Central,Kansas,1960,1272
South,East South Central,Kentucky,1960,2957
South,West South Central,Louisiana,1960,4990
Northeast,New England,Maine,1960,289
South,South Atlantic,Maryland,1960,4691
Northeast,New England,Massachusetts,1960,2512
Midwest,East North Central,Michigan,1960,17034
Midwest,West North Central,Minnesota,1960,1435
South,East South Central,Mississippi,1960,2236
Midwest,West North Central,Missouri,1960,7468
West,Mountain,Montana,1960,453
Midwest,West North Central,Nebraska,1960,590
West,Mountain,Nevada,1960,416
Northeast,New England,New Hampshire,1960,81
Northeast,Middle Atlantic,New Jersey,1960,6932
West,Mountain,New Mexico,1960,1360
Northeast,Middle Atlantic,New York,1960,null
South,South Atlantic,North Carolina,1960,10182
Midwest,West North Central,North Dakota,1960,90
Midwest,East North Central,Ohio,1960,8120
South,West South Central,Oklahoma,1960,2258
West,Pacific,Oregon,1960,1232
Northeast,Middle Atlantic,Pennsylvania,1960,11203
Northeast,New England,Rhode Island,1960,316
South,South Atlantic,South Carolina,1960,3424
Midwest,West North Central,South Dakota,1960,282
South,East South Central,Tennessee,1960,3250
South,West South Central,Texas,1960,15428
West,Mountain,Utah,1960,484
Northeast,New England,Vermont,1960,37
South,South Atlantic,Virginia,1960,7286
West,Pacific,Washington,1960,1616
South,South Atlantic,West Virginia,1960,1200
Midwest,East North Central,Wisconsin,1960,1261
West,Mountain,Wyoming,1960,362
South,East South Central,Alabama,1961,5564
West,Pacific,Alaska,1961,208
West,Mountain,Arizona,1961,2288
South,West South Central,Arkansas,1961,1809
West,Pacific,California,1961,38154
West,Mountain,Colorado,1961,2659
Northeast,New England,Connecticut,1961,878
South,South Atlantic,Delaware,1961,318
South,South Atlantic,District of Columbia,1961,4491
South,South Atlantic,Florida,1961,11376
South,South Atlantic,Georgia,1961,6269
West,Pacific,Hawaii,1961,161
West,Mountain,Idaho,1961,222
Midwest,East North Central,Illinois,1961,37156
Midwest,East North Central,Indiana,1961,4044
Midwest,West North Central,Iowa,1961,643
