Year,State,Divorce_Rate,Marriage_Rate
1990,Alabama,0.061,0.106
1990,Alaska,0.055,0.102
1990,Arizona,0.069,0.1
1990,Arkansas,0.069,0.153
1990,California,0.043,0.079
1990,Colorado,0.055,0.098
1990,Connecticut,0.032,0.079
1990,Delaware,0.044,0.084
1990,District of Columbia,0.045,0.082
1990,Florida,0.063,0.109
1990,Georgia,0.055,0.103
1990,Hawaii,0.046,0.164
1990,Idaho,0.065,0.139
1990,Illinois,0.038,0.088
1990,Indiana,null,0.096
1990,Iowa,0.039,0.09
1990,Kansas,0.05,0.092
1990,Kentucky,0.058,0.135
1990,Louisiana,null,0.096
1990,Maine,0.043,0.097
1990,Maryland,0.034,0.097
1990,Massachusetts,0.028,0.079
1990,Michigan,0.043,0.082
1990,Minnesota,0.035,0.077
1990,Mississippi,0.055,0.094
1990,Missouri,0.051,0.096
1990,Montana,0.051,0.086
1990,Nebraska,0.04,0.08
1990,Nevada,0.114,0.99
1990,New Hampshire,0.047,0.095
1990,New Jersey,0.03,0.076
1990,New Mexico,0.049,0.088
1990,New York,0.032,0.086
1990,North Carolina,0.051,0.078
1990,North Dakota,0.036,0.075
1990,Ohio,0.047,0.09
1990,Oklahoma,0.077,0.106
1990,Oregon,0.055,0.089
1990,Pennsylvania,0.033,0.071
1990,Rhode Island,0.037,0.081
1990,South Carolina,0.045,0.159
1990,South Dakota,0.037,0.111
1990,Tennessee,0.065,0.139
1990,Texas,0.055,0.105
1990,Utah,0.051,0.112
1990,Vermont,0.045,0.109
1990,Virginia,0.044,0.114
1990,Washington,0.059,0.095
1990,West Virginia,0.053,0.072
1990,Wisconsin,0.036,0.079
1990,Wyoming,0.066,0.107
1995,Alabama,0.06,0.098
1995,Alaska,0.05,0.09
1995,Arizona,0.062,0.088
1995,Arkansas,0.063,0.144
1995,California,null,0.063
1995,Colorado,null,0.09
1995,Connecticut,0.029,0.066
1995,Delaware,0.05,0.073
1995,District of Columbia,0.032,0.061
1995,Florida,0.055,0.099
1995,Georgia,0.051,0.084
1995,Hawaii,0.046,0.157
1995,Idaho,0.058,0.131
1995,Illinois,0.032,0.069
1995,Indiana,null,0.086
1995,Iowa,0.037,0.077
1995,Kansas,0.041,0.085
1995,Kentucky,0.059,0.122
1995,Louisiana,null,0.093
1995,Maine,0.044,0.087
1995,Maryland,0.03,0.084
1995,Massachusetts,0.022,0.071
1995,Michigan,0.041,0.073
1995,Minnesota,0.034,0.07
1995,Mississippi,0.048,0.079
1995,Missouri,0.05,0.083
1995,Montana,0.048,0.076
1995,Nebraska,0.038,0.073
1995,Nevada,0.078,0.852
1995,New Hampshire,0.042,0.083
